fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19037_001E,B19037_002E,B19037_003E,B19037_004E,B19037_005E,B19037_006E,B19037_007E,B19037_008E,B19037_009E,B19037_010E,B19037_011E,B19037_012E,B19037_013E,B19037_014E,B19037_015E,B19037_016E,B19037_017E,B19037_018E,B19037_019E,B19037_020E,B19037_021E,B19037_022E,B19037_023E,B19037_024E,B19037_025E,B19037_026E,B19037_027E,B19037_028E,B19037_029E,B19037_030E,B19037_031E,B19037_032E,B19037_033E,B19037_034E,B19037_035E,B19037_036E,B19037_037E,B19037_038E,B19037_039E,B19037_040E,B19037_041E,B19037_042E,B19037_043E,B19037_044E,B19037_045E,B19037_046E,B19037_047E,B19037_048E,B19037_049E,B19037_050E,B19037_051E,B19037_052E,B19037_053E,B19037_054E,B19037_055E,B19037_056E,B19037_057E,B19037_058E,B19037_059E,B19037_060E,B19037_061E,B19037_062E,B19037_063E,B19037_064E,B19037_065E,B19037_066E,B19037_067E,B19037_068E,B19037_069E
34039036301,109,18,53,62,56,76,51,83,58,139,139,284,309,164,99,131,1831,27,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,519,45,0,6,0,0,0,11,10,7,56,15,121,161,51,13,23,820,55,0,5,33,28,26,9,26,40,59,45,127,95,106,58,108,465,9,18,42,29,28,50,31,47,11,24,52,36,53,7,28,0
35001000300,193,150,184,35,114,152,90,170,177,286,191,383,152,111,260,117,2765,246,81,14,10,12,12,24,25,30,38,0,0,0,0,0,0,0,1006,83,59,87,11,39,40,30,69,59,93,61,226,90,23,28,8,790,17,16,25,0,25,12,35,14,20,97,59,112,15,68,193,82,723,12,61,62,12,38,76,0,57,60,96,71,45,47,20,39,27
35001003724,36,50,32,47,36,64,80,106,65,189,147,263,266,110,31,78,1600,35,8,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,432,0,0,0,18,18,12,34,50,56,59,17,62,98,8,0,0,680,19,42,11,10,0,18,19,26,9,85,64,87,137,78,15,60,453,9,8,21,19,18,34,27,30,0,45,66,87,31,24,16,18
35049000600,89,65,51,73,43,47,51,56,54,130,97,98,80,80,73,99,1186,20,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,329,27,22,18,19,0,34,27,0,24,28,36,7,4,14,56,13,547,47,30,16,26,34,0,10,41,30,68,39,58,50,52,17,29,290,15,13,6,28,9,13,14,15,0,25,22,33,26,14,0,57
35049000700,49,89,40,57,92,50,22,33,68,67,125,133,113,7,49,15,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,23,9,8,8,33,21,7,19,48,15,52,79,86,7,9,15,408,20,65,10,26,37,29,15,14,6,32,62,25,27,0,40,0,162,6,15,22,23,22,0,0,0,14,20,11,29,0,0,0,0
36001014001,104,52,120,51,61,130,75,140,106,196,271,288,199,43,63,11,1910,162,47,8,0,14,0,87,0,6,0,0,0,0,0,0,0,0,464,10,22,27,7,0,34,0,30,0,0,156,77,82,0,19,0,710,8,6,0,16,25,0,24,42,31,158,86,150,77,32,44,11,574,39,16,93,14,36,9,51,62,75,38,29,61,40,11,0,0
36047011900,48,5,30,48,11,28,6,28,55,72,76,133,62,49,16,85,752,28,0,0,0,0,11,0,0,5,6,0,0,6,0,0,0,0,456,15,0,18,6,0,28,6,23,27,12,65,115,45,43,6,47,197,27,0,12,42,0,0,0,0,22,18,11,12,17,0,5,31,71,6,5,0,0,0,0,0,0,0,42,0,0,0,6,5,7
36059301700,6,10,4,5,4,24,9,8,0,46,24,55,36,50,97,369,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,17,0,20,31,16,22,143,358,0,5,4,0,4,6,5,4,0,15,19,30,5,30,48,183,140,6,5,0,5,0,18,4,4,0,14,5,5,0,4,27,43
36059518600,0,9,0,36,21,30,0,16,0,22,30,104,121,196,156,554,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,12,0,0,0,0,0,10,0,51,36,140,790,0,9,0,16,10,9,0,0,0,7,17,62,77,107,105,371,256,0,0,0,20,11,9,0,16,0,15,13,32,44,38,15,43
36061002100,47,10,0,12,48,0,0,40,16,54,159,135,170,68,503,1422,2684,38,0,10,0,0,0,0,0,10,0,8,10,0,0,0,0,0,1737,31,0,0,12,18,0,0,30,16,17,82,84,63,47,385,952,759,16,0,0,0,15,0,0,0,0,15,67,24,79,21,104,418,150,0,0,0,0,15,0,0,0,0,14,0,27,28,0,14,52
36061003601,246,97,114,102,67,33,26,72,29,59,41,114,68,91,46,174,1379,68,51,5,0,0,0,0,5,0,0,0,5,0,0,0,2,0,638,29,36,37,32,31,11,0,37,0,23,36,34,60,74,44,154,435,91,49,11,11,36,11,21,26,29,36,0,80,8,17,0,9,238,75,7,66,59,0,11,0,9,0,0,0,0,0,0,0,11
36061005200,125,13,24,10,0,27,0,54,17,43,46,82,110,92,140,697,1480,49,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,731,37,13,0,0,0,10,0,40,0,7,27,58,65,15,66,393,455,20,0,16,0,0,0,0,0,0,12,19,8,28,52,57,243,245,32,0,8,10,0,17,0,14,17,24,0,16,17,25,17,48
36061009100,263,254,139,71,44,94,84,124,100,64,109,412,423,175,469,1069,3894,239,47,105,0,0,0,0,0,14,0,0,0,0,12,27,25,9,1913,80,53,66,0,0,73,14,16,16,64,73,161,285,129,259,624,1387,123,59,21,62,39,21,43,67,34,0,36,204,90,19,169,400,355,13,37,52,9,5,0,27,27,50,0,0,47,36,0,16,36
36061010800,196,0,147,136,124,220,131,73,124,148,435,508,413,418,370,1437,4880,214,0,0,0,0,0,17,9,0,40,38,54,15,9,16,0,16,2034,22,0,32,13,11,79,71,20,45,12,86,355,221,289,194,584,1307,95,0,0,99,33,30,51,0,10,43,99,0,111,0,145,591,1325,79,0,115,24,80,94,0,53,29,55,196,138,72,113,31,246
